Loan_ID,Gender,Married,ApplicantIncome,LoanAmount,Loan_Status
LP002619,Male,Yes,3814.0,124.0,Y
LP002789,Male,Yes,3593.0,132.0,N
LP001014,Male,Yes,3036.0,158.0,N
LP001073,Male,Yes,4226.0,110.0,Y
LP001875,Male,No,4095.0,151.0,Y
LP001264,Male,Yes,3333.0,130.0,Y
LP002832,Male,Yes,8799.0,258.0,N
LP001066,Male,Yes,9560.0,,Y
LP001640,Male,Yes,39147.0,120.0,Y
LP001936,Male,Yes,3075.0,139.0,Y
LP001914,Male,Yes,3927.0,112.0,Y
LP002296,Male,No,2755.0,,N
LP001024,Male,Yes,3200.0,70.0,Y
LP001734,Female,Yes,4283.0,127.0,Y
LP001003,Male,Yes,4583.0,128.0,N
LP002390,Male,No,3750.0,100.0,Y
LP001926,Male,Yes,3704.0,120.0,Y
LP002335,Female,Yes,2149.0,178.0,N
LP002342,Male,Yes,1600.0,239.0,N
LP002600,Male,Yes,2895.0,95.0,Y
LP002448,Male,Yes,3948.0,149.0,N
LP001713,Male,Yes,7787.0,240.0,Y
LP002912,Male,Yes,4283.0,172.0,N
LP002332,Male,Yes,2253.0,110.0,Y
LP001552,Male,Yes,4583.0,255.0,Y
LP001489,Female,Yes,4583.0,84.0,N
LP002180,Male,No,6822.0,141.0,Y
LP001907,Male,Yes,14583.0,436.0,Y
LP002974,Male,Yes,3232.0,,Y
LP002833,Male,Yes,4467.0,120.0,Y
LP002119,Male,Yes,4554.0,158.0,Y
LP002361,Male,Yes,1820.0,100.0,Y
LP002448,Male,Yes,3948.0,149.0,N
LP002129,Male,Yes,,160.0,Y
LP002370,Male,No,2717.0,60.0,Y
LP001198,Male,Yes,8080.0,180.0,Y
LP002917,Female,No,2165.0,70.0,Y
LP002287,Female,No,1500.0,103.0,N
LP001949,Male,Yes,4416.0,110.0,Y
LP001469,Male,No,20166.0,650.0,Y
LP001273,Male,Yes,6000.0,265.0,N
LP002705,Male,Yes,3775.0,110.0,Y
LP002741,Female,Yes,4608.0,140.0,Y
LP002226,Male,Yes,,128.0,Y
LP001580,Male,Yes,8000.0,200.0,Y
LP002868,Male,Yes,3159.0,108.0,Y
LP002874,Male,No,3229.0,110.0,Y
LP001570,Male,Yes,4167.0,158.0,Y
LP002723,Male,No,3588.0,110.0,N
LP001043,Male,Yes,7660.0,104.0,N
LP002008,Male,Yes,5746.0,144.0,Y
LP001949,Male,Yes,4416.0,110.0,Y
LP002244,Male,Yes,2333.0,136.0,Y
LP002181,Male,No,6216.0,133.0,N
LP001119,Male,No,3600.0,80.0,N
LP002734,Male,Yes,6133.0,324.0,Y
LP001493,Male,Yes,4200.0,129.0,N
LP001640,Male,Yes,39147.0,120.0,Y
LP001993,Female,No,3762.0,135.0,Y
LP001945,Female,No,5417.0,143.0,N
LP002002,Female,No,2917.0,84.0,Y
LP002473,Male,Yes,8334.0,160.0,N
LP002318,Female,No,3867.0,62.0,N
LP001653,Male,No,4885.0,48.0,Y
LP002201,Male,Yes,9323.0,380.0,Y
LP002142,Female,Yes,5500.0,105.0,N
LP001677,Male,No,4923.0,166.0,Y
LP001478,Male,No,2718.0,70.0,Y
LP002494,Male,No,6000.0,,Y
LP002648,Male,Yes,2130.0,70.0,N
LP002130,Male,Yes,3523.0,152.0,N
LP001990,Male,No,2000.0,,N
LP002855,Male,Yes,16666.0,275.0,Y
LP001532,Male,Yes,2281.0,113.0,N
LP001915,Male,Yes,2301.0,78.0,Y
LP001253,Male,Yes,5266.0,187.0,Y
LP001384,Male,Yes,2071.0,94.0,Y
LP002348,Male,Yes,5829.0,138.0,Y
LP001736,Male,Yes,2221.0,60.0,N
LP001349,Male,No,4843.0,151.0,Y
LP001854,Male,Yes,5250.0,94.0,N
LP001404,Female,Yes,3167.0,154.0,Y
LP002618,Male,Yes,4050.0,138.0,N
LP002743,Female,No,2138.0,99.0,N
LP001029,Male,No,1853.0,114.0,N
LP002622,Male,Yes,3510.0,243.0,Y
LP001963,Male,Yes,2014.0,113.0,N
LP002821,Male,No,5800.0,132.0,Y
LP002484,Male,Yes,7740.0,128.0,Y
LP002362,Male,Yes,7250.0,110.0,N
LP001253,Male,Yes,5266.0,187.0,Y
LP002142,Female,Yes,5500.0,105.0,N
LP001504,Male,No,6950.0,175.0,Y
LP001052,Male,Yes,3717.0,151.0,N
LP001666,Male,No,8333.0,187.0,Y
LP002524,Male,No,5532.0,162.0,Y
LP002541,Male,Yes,10833.0,234.0,Y
LP001907,Male,Yes,14583.0,436.0,Y
LP002689,Male,Yes,2192.0,45.0,Y
LP002272,Male,Yes,3276.0,135.0,Y
LP002194,Female,No,15759.0,55.0,Y
LP001692,Female,No,4408.0,120.0,Y
LP001195,Male,Yes,2132.0,96.0,Y
LP002943,Male,No,,88.0,N
LP002938,Male,Yes,16120.0,260.0,Y
LP002250,Male,Yes,5488.0,125.0,Y
LP001750,Male,Yes,6250.0,128.0,Y
LP001350,Male,Yes,13650.0,,Y
LP002237,Male,No,3667.0,113.0,Y
LP002305,Female,No,4547.0,115.0,Y
LP002106,Male,Yes,5503.0,70.0,Y
LP002767,Male,Yes,2768.0,155.0,Y
LP002006,Female,No,2507.0,56.0,Y
LP002945,Male,Yes,9963.0,180.0,Y
LP002505,Male,Yes,4333.0,110.0,N
LP001610,Male,Yes,5516.0,495.0,N
LP002643,Male,Yes,3283.0,148.0,Y
LP001194,Male,Yes,2708.0,,Y
LP002369,Male,Yes,2920.0,87.0,Y
LP001098,Male,Yes,3500.0,114.0,Y
LP002936,Male,Yes,3859.0,142.0,Y
LP002941,Male,Yes,6383.0,187.0,N
LP001289,Male,No,8566.0,210.0,Y
LP001894,Male,Yes,2620.0,150.0,Y
LP002789,Male,Yes,3593.0,132.0,N
LP001792,Male,Yes,3315.0,96.0,Y
LP002533,Male,Yes,,,N
LP001020,Male,Yes,,349.0,N
LP001379,Male,Yes,3800.0,216.0,N
LP001734,Female,Yes,4283.0,127.0,Y
LP001199,Male,Yes,3357.0,144.0,Y
LP002917,Female,No,2165.0,70.0,Y
LP001656,Male,No,12000.0,164.0,N
LP001264,Male,Yes,3333.0,130.0,Y
LP002243,Male,Yes,3010.0,,N
LP002131,Male,Yes,3083.0,126.0,Y
LP002236,Male,Yes,,100.0,N
LP002434,Male,Yes,4652.0,110.0,Y
LP002119,Male,Yes,4554.0,158.0,Y
LP002731,Female,No,18165.0,125.0,Y
LP002537,Male,Yes,2083.0,128.0,Y
LP002974,Male,Yes,3232.0,108.0,Y
LP002717,Male,Yes,1025.0,216.0,Y
LP002191,Male,Yes,19730.0,570.0,N
LP002961,Male,Yes,3400.0,173.0,Y
LP001744,Male,No,2971.0,,Y
LP002716,Male,No,6783.0,130.0,Y
LP002753,Female,No,3652.0,95.0,Y
LP001507,Male,Yes,,122.0,Y
LP001504,Male,No,6950.0,175.0,Y
LP002281,Male,Yes,3033.0,95.0,Y
LP002586,Female,Yes,3326.0,105.0,Y
LP001492,Male,No,14999.0,242.0,N
LP002054,Male,Yes,3601.0,,Y
LP002255,Male,No,9167.0,185.0,Y
LP002386,Male,No,12876.0,405.0,Y
LP001100,Male,No,12500.0,320.0,N
LP002959,Female,Yes,12000.0,496.0,Y
LP001091,Male,Yes,4166.0,201.0,N
LP001883,Female,No,,135.0,N
LP001507,Male,Yes,2698.0,122.0,Y
LP002160,Male,Yes,5167.0,200.0,Y
LP002053,Male,Yes,4342.0,124.0,Y
LP001907,Male,Yes,14583.0,436.0,Y
LP002950,Male,Yes,2894.0,155.0,Y
LP002841,Male,Yes,3166.0,104.0,N
LP002139,Male,Yes,9083.0,228.0,Y
LP002936,Male,Yes,3859.0,142.0,Y
LP001692,Female,No,4408.0,120.0,Y
LP002531,Male,Yes,16667.0,86.0,Y
LP002732,Male,No,2550.0,126.0,Y
LP001736,Male,Yes,2221.0,60.0,N
LP001325,Male,No,3620.0,25.0,Y
LP001998,Male,Yes,7667.0,185.0,Y
LP001385,Male,No,5316.0,136.0,Y
LP001849,Male,No,6045.0,115.0,N
LP001562,Male,Yes,,275.0,N
LP001788,Female,No,3463.0,122.0,Y
LP001531,Male,No,9166.0,244.0,N
LP002832,Male,Yes,8799.0,258.0,N
LP002603,Female,No,645.0,113.0,Y
LP001994,Female,No,2400.0,104.0,N
LP002536,Male,Yes,3095.0,113.0,Y
LP001859,Male,Yes,,304.0,N
LP001692,Female,No,4408.0,120.0,Y
LP001990,Male,No,2000.0,,N
LP002362,Male,Yes,7250.0,110.0,N
LP002296,Male,No,2755.0,,N
LP002129,Male,Yes,2499.0,160.0,Y
LP002348,Male,Yes,5829.0,138.0,Y
LP002097,Male,No,,117.0,Y
LP001518,Male,Yes,1538.0,30.0,Y
LP001451,Male,Yes,10513.0,160.0,N
LP001267,Female,Yes,1378.0,167.0,N
LP002684,Female,No,3400.0,95.0,N
LP002943,Male,No,2987.0,88.0,N
LP002743,Female,No,2138.0,99.0,N
LP002634,Female,No,13262.0,40.0,Y
LP002534,Female,No,4350.0,154.0,Y
LP002342,Male,Yes,1600.0,239.0,N
LP001776,Female,No,8333.0,280.0,Y
LP002784,Male,Yes,2492.0,,Y
LP002054,Male,Yes,,,Y
LP002467,Male,Yes,3708.0,173.0,N
LP002600,Male,Yes,2895.0,95.0,Y
LP002126,Male,Yes,3173.0,74.0,Y
LP001972,Male,Yes,2875.0,105.0,Y
LP002863,Male,Yes,6406.0,,N
LP002755,Male,Yes,2239.0,128.0,Y
LP002697,Male,No,4680.0,,N
LP001543,Male,Yes,9538.0,,Y
LP001691,Male,Yes,3917.0,124.0,Y
LP001963,Male,Yes,2014.0,113.0,N
LP001245,Male,Yes,1875.0,97.0,Y
LP001516,Female,Yes,14866.0,70.0,Y
LP002443,Male,Yes,3340.0,150.0,N
LP002067,Male,Yes,8666.0,376.0,N
LP002364,Male,Yes,14880.0,96.0,Y
LP001926,Male,Yes,3704.0,120.0,Y
LP001241,Female,No,4300.0,136.0,N
LP002731,Female,No,18165.0,125.0,Y
LP001491,Male,Yes,3316.0,88.0,Y
LP001443,Female,No,3692.0,93.0,Y
LP002792,Male,Yes,5468.0,26.0,Y
LP002131,Male,Yes,3083.0,126.0,Y
LP001616,Male,Yes,3750.0,116.0,Y
LP002706,Male,Yes,5285.0,161.0,Y
LP002585,Male,Yes,3597.0,119.0,N
LP001030,Male,Yes,1299.0,17.0,Y
LP002619,Male,Yes,3814.0,124.0,Y
LP001516,Female,Yes,14866.0,70.0,Y
LP002693,Male,Yes,,480.0,Y
LP001761,Male,No,6400.0,200.0,Y
LP002938,Male,Yes,16120.0,260.0,Y
LP002345,Male,Yes,,112.0,Y
LP002990,Female,No,4583.0,133.0,N
LP001531,Male,No,9166.0,244.0,N
LP001541,Male,Yes,,160.0,Y
LP001316,Male,Yes,2958.0,131.0,Y
LP002847,Male,Yes,,165.0,N
LP001907,Male,Yes,14583.0,436.0,Y
LP001910,Male,No,,158.0,N
LP001606,Male,Yes,3497.0,116.0,Y
LP002537,Male,Yes,2083.0,128.0,Y
LP002187,Male,No,2500.0,96.0,N
LP002926,Male,Yes,2726.0,106.0,N
LP001367,Male,Yes,3052.0,100.0,Y
LP002401,Male,Yes,2213.0,,Y
LP002689,Male,Yes,2192.0,45.0,Y
LP002231,Female,No,6000.0,156.0,Y
LP001116,Male,No,3748.0,110.0,Y
LP002519,Male,Yes,4691.0,100.0,Y
LP002936,Male,Yes,3859.0,142.0,Y
LP001225,Male,Yes,5726.0,258.0,N
LP001322,Male,No,4133.0,122.0,Y
LP001265,Female,No,3846.0,111.0,Y
LP001658,Male,No,,76.0,Y
LP002961,Male,Yes,3400.0,173.0,Y
LP001529,Male,Yes,2577.0,152.0,Y
LP002894,Female,Yes,3166.0,36.0,Y
LP002138,Male,Yes,2625.0,187.0,Y
LP002284,Male,No,3902.0,109.0,Y
LP002446,Male,Yes,2309.0,125.0,N
LP001473,Male,No,2014.0,74.0,Y
LP001770,Male,No,3189.0,120.0,Y
LP001029,Male,No,1853.0,114.0,N
LP001379,Male,Yes,3800.0,216.0,N
LP001280,Male,Yes,3333.0,99.0,Y
LP001492,Male,No,14999.0,242.0,N
LP001790,Female,No,3812.0,112.0,Y
LP001120,Male,No,1800.0,47.0,Y
LP001498,Male,No,5417.0,168.0,Y
LP002534,Female,No,,154.0,Y
LP001498,Male,No,5417.0,168.0,Y
LP001870,Female,No,3481.0,155.0,N
LP001151,Female,No,4000.0,144.0,Y
LP001904,Male,Yes,3103.0,80.0,Y
LP002794,Female,No,2667.0,84.0,Y
LP002795,Male,Yes,10139.0,260.0,Y
LP001813,Male,No,6050.0,120.0,N
LP002772,Male,No,,145.0,Y
LP001109,Male,Yes,1828.0,100.0,N
LP002768,Male,No,,80.0,N
LP001666,Male,No,8333.0,,Y
LP002603,Female,No,645.0,113.0,Y
LP002141,Male,Yes,2666.0,95.0,Y
LP002807,Male,Yes,3675.0,,Y
LP002949,Female,No,416.0,350.0,N
LP001046,Male,Yes,5955.0,315.0,Y
LP001405,Male,Yes,2214.0,85.0,Y
LP001432,Male,Yes,2957.0,81.0,Y
LP001426,Male,Yes,5667.0,180.0,Y
LP002545,Male,No,3547.0,80.0,N
LP002110,Male,Yes,5250.0,160.0,Y
LP001046,Male,Yes,5955.0,315.0,Y
LP001570,Male,Yes,4167.0,158.0,Y
LP002006,Female,No,2507.0,56.0,Y
LP001922,Male,Yes,20667.0,,N
LP002277,Female,No,3180.0,71.0,N
LP002582,Female,No,17263.0,225.0,Y
LP002571,Male,No,3691.0,110.0,Y
LP001758,Male,Yes,6250.0,210.0,Y
LP002585,Male,Yes,3597.0,119.0,N
LP001014,Male,Yes,3036.0,158.0,N
LP002051,Male,Yes,2400.0,115.0,Y
LP002201,Male,Yes,9323.0,380.0,Y
LP002950,Male,Yes,2894.0,155.0,Y
LP001273,Male,Yes,6000.0,265.0,N
LP002418,Male,No,4707.0,148.0,Y
LP001572,Male,Yes,9323.0,75.0,Y
LP001310,Male,Yes,5695.0,175.0,Y
LP001938,Male,Yes,4400.0,127.0,N
LP001003,Male,Yes,4583.0,128.0,N
LP002738,Male,No,3617.0,107.0,Y
LP002862,Male,Yes,6125.0,187.0,N
LP002716,Male,No,6783.0,130.0,Y
LP001028,Male,Yes,3073.0,,Y
LP001086,Male,No,,35.0,N
LP001325,Male,No,3620.0,25.0,Y
LP002739,Male,Yes,2917.0,66.0,N
LP001266,Male,Yes,2395.0,,Y
LP001379,Male,Yes,3800.0,216.0,N
LP001109,Male,Yes,1828.0,100.0,N
LP001978,Male,No,4000.0,140.0,Y
LP002716,Male,No,6783.0,130.0,Y
LP001955,Female,No,5000.0,151.0,N
LP002517,Male,Yes,2653.0,113.0,N
LP002585,Male,Yes,3597.0,119.0,N
LP001872,Male,No,5166.0,128.0,Y
LP002364,Male,Yes,14880.0,96.0,Y
LP001877,Male,Yes,4708.0,150.0,Y
LP002161,Female,No,4723.0,81.0,N
LP002928,Male,Yes,3000.0,56.0,Y
LP001213,Male,Yes,4945.0,,N
LP002807,Male,Yes,3675.0,108.0,Y
LP001030,Male,Yes,1299.0,17.0,Y
LP001708,Female,No,10000.0,214.0,N
LP001528,Male,No,6277.0,118.0,N
LP002297,Male,No,2500.0,103.0,Y
LP002606,Female,No,3159.0,100.0,Y
LP002314,Female,No,,66.0,Y
LP001868,Male,No,2060.0,134.0,Y
LP001536,Male,Yes,39999.0,600.0,Y
LP001765,Male,Yes,2491.0,104.0,Y
LP001778,Male,Yes,3155.0,140.0,Y
LP002100,Male,No,2833.0,71.0,Y
LP001343,Male,Yes,1759.0,131.0,Y
LP002945,Male,Yes,9963.0,180.0,Y
LP002370,Male,No,2717.0,60.0,Y
LP001640,Male,Yes,,120.0,Y
LP002379,Male,No,6500.0,105.0,N
LP002446,Male,Yes,2309.0,125.0,N
LP001027,Male,Yes,2500.0,109.0,Y
LP001014,Male,Yes,3036.0,158.0,N
LP001241,Female,No,4300.0,136.0,N
LP002767,Male,Yes,2768.0,155.0,Y
LP002342,Male,Yes,1600.0,239.0,N
LP002697,Male,No,4680.0,,N
LP002697,Male,No,4680.0,,N
LP001954,Female,Yes,4666.0,135.0,Y
LP002100,Male,No,,71.0,Y
LP001565,Male,Yes,3089.0,121.0,N
LP001087,Female,No,3750.0,,Y
LP002776,Female,No,5000.0,103.0,N
LP002190,Male,Yes,6325.0,175.0,Y
LP002115,Male,Yes,2647.0,173.0,N
LP001954,Female,Yes,4666.0,,Y
LP001256,Male,No,3750.0,176.0,N
LP001350,Male,Yes,13650.0,,Y
LP002784,Male,Yes,2492.0,,Y
LP001024,Male,Yes,3200.0,70.0,Y
LP002170,Male,Yes,5000.0,236.0,Y
LP002945,Male,Yes,,180.0,Y
LP002772,Male,No,2526.0,145.0,Y
LP001749,Male,Yes,7578.0,175.0,Y
LP001241,Female,No,4300.0,136.0,N
LP002767,Male,Yes,2768.0,155.0,Y
LP001087,Female,No,3750.0,120.0,Y
LP001784,Male,Yes,5500.0,170.0,Y
LP002328,Male,Yes,6096.0,218.0,N
LP002386,Male,No,12876.0,405.0,Y
LP001698,Male,No,3975.0,55.0,Y
LP001028,Male,Yes,3073.0,200.0,Y
LP002684,Female,No,3400.0,95.0,N
LP001608,Male,Yes,2045.0,101.0,Y
LP002115,Male,Yes,2647.0,173.0,N
LP002874,Male,No,3229.0,110.0,Y
LP002562,Male,Yes,5333.0,186.0,Y
LP001972,Male,Yes,2875.0,105.0,Y
LP001516,Female,Yes,14866.0,70.0,Y
LP001768,Male,Yes,3716.0,,Y
LP001222,Female,No,4166.0,116.0,N
LP001577,Female,Yes,4583.0,112.0,N
LP002958,Male,No,3676.0,172.0,Y
LP002319,Male,Yes,6256.0,160.0,Y
LP001955,Female,No,,151.0,N
LP002894,Female,Yes,3166.0,36.0,Y
LP002284,Male,No,3902.0,109.0,Y
LP001581,Male,Yes,1820.0,95.0,Y
LP002443,Male,Yes,3340.0,150.0,N
LP001275,Male,Yes,3988.0,50.0,Y
LP001836,Female,No,3427.0,138.0,N
LP002941,Male,Yes,6383.0,187.0,N
LP002916,Male,Yes,2297.0,104.0,Y
LP002053,Male,Yes,4342.0,124.0,Y
LP001734,Female,Yes,4283.0,127.0,Y
LP001098,Male,Yes,3500.0,114.0,Y
LP002874,Male,No,3229.0,110.0,Y
LP002116,Female,No,2378.0,46.0,N
LP002231,Female,No,6000.0,156.0,Y
LP001195,Male,Yes,2132.0,96.0,Y
LP001319,Male,Yes,3273.0,81.0,Y
LP002446,Male,Yes,2309.0,125.0,N
LP001884,Female,No,2876.0,90.0,Y
LP002055,Female,No,3166.0,132.0,Y
LP001439,Male,Yes,4300.0,194.0,Y
LP001734,Female,Yes,4283.0,127.0,Y
LP001922,Male,Yes,20667.0,,N
LP001634,Male,No,1916.0,67.0,N
LP001814,Male,Yes,9703.0,112.0,Y
LP002505,Male,Yes,4333.0,110.0,N
LP002390,Male,No,3750.0,100.0,Y
LP001990,Male,No,2000.0,,N
LP002098,Male,No,2935.0,98.0,Y
LP001788,Female,No,3463.0,122.0,Y
LP002211,Male,Yes,4817.0,120.0,Y
